"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"0","1","Angelica","Angelica keiskei","Herbs and Spices","Herbs"
"1","2","Savoy cabbage","Brassica oleracea var. sabauda","Vegetables","Cabbages"
"2","3","Silver linden","Tilia argentea","Herbs and Spices","Herbs"
"3","4","Kiwi","Actinidia chinensis","Fruits","Tropical fruits"
"4","5","Allium","Allium","Vegetables","Onion-family vegetables"
"5","6","Garden onion","Allium cepa","Vegetables","Onion-family vegetables"
"6","7","Leek","Allium porrum","Vegetables","Onion-family vegetables"
"7","8","Garlic","Allium sativum","Herbs and Spices","Herbs"
"8","9","Chives","Allium schoenoprasum","Herbs and Spices","Herbs"
"9","10","Lemon verbena","Aloysia triphylla","Herbs and Spices","Herbs"
"10","11","Cashew nut","Anacardium occidentale","Nuts","Nuts"
"11","12","Pineapple","Ananas comosus","Fruits","Tropical fruits"
"12","13","Dill","Anethum graveolens","Herbs and Spices","Herbs"
"13","14","Custard apple","Annona reticulata","Fruits","Tropical fruits"
"14","15","Wild celery","Apium graveolens","Herbs and Spices","Spices"
"15","16","Peanut","Arachis hypogaea","Nuts","Nuts"
"16","17","Burdock","Arctium lappa","Vegetables","Root vegetables"
"17","18","Horseradish","Armoracia rusticana","Herbs and Spices","Spices"
"18","19","Tarragon","Artemisia dracunculus","Herbs and Spices","Herbs"
"19","20","Mugwort","Artemisia vulgaris","Herbs and Spices","Herbs"
"20","21","Asparagus","Asparagus officinalis","Vegetables","Shoot vegetables"
"21","22","Oat","Avena sativa","Cereals and cereal products","Cereals"
"22","23","Star fruit","Averrhoa carambola","Fruits","Tropical fruits"
"23","24","Brazil nut","Bertholletia excelsa","Nuts","Nuts"
"24","25","Common beet","Beta vulgaris","Vegetables","Leaf vegetables"
"25","26","Borage","Borago officinalis","Herbs and Spices","Oilseed crops"
"26","27","Chinese mustard","Brassica juncea","Vegetables","Cabbages"
"27","28","Swede","Brassica napus","Vegetables","Root vegetables"
"28","29","Rape","Brassica napus var. napus","Vegetables","Root vegetables"
"29","30","Common cabbage","Brassica oleracea","Vegetables","Cabbages"
"30","31","Cauliflower","Brassica oleracea var. botrytis","Vegetables","Cabbages"
"31","32","Brussel sprouts","Brassica oleracea var. gemmifera","Vegetables","Cabbages"
"32","33","Kohlrabi","Brassica oleracea var. gongylodes","Vegetables","Root vegetables"
"33","34","Broccoli","Brassica oleracea var. italica","Vegetables","Cabbages"
"34","35","Chinese cabbage","Brassica rapa","Vegetables","Cabbages"
"35","36","Turnip","Brassica rapa var. rapa","Herbs and Spices","Herbs"
"36","37","Pigeon pea","Cajanus cajan","Pulses","Peas"
"37","38","Tea","Camellia sinensis","Teas","Teas"
"38","39","Capers","Capparis spinosa","Herbs and Spices","Spices"
"39","40","Pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"40","41","Papaya","Carica papaya","Fruits","Tropical fruits"
"41","42","Safflower","Carthamus tinctorius","Herbs and Spices","Oilseed crops"
"42","43","Caraway","Carum carvi","Herbs and Spices","Spices"
"43","44","Pecan nut","Carya illinoinensis","Nuts","Nuts"
"44","45","Chestnut","Castanea","Nuts","Nuts"
"45","46","Roman camomile","Chamaemelum nobile","Herbs and Spices","Herbs"
"46","47","Chickpea","Cicer arietinum","Pulses","Peas"
"47","48","Endive","Cichorium endivia","Vegetables","Leaf vegetables"
"48","49","Chicory","Cichorium intybus","Vegetables","Root vegetables"
"49","50","Chinese cinnamon","Cinnamomum aromaticum","Herbs and Spices","Spices"
"50","51","Ceylon cinnamon","Cinnamomum verum","Herbs and Spices","Spices"
"51","52","Watermelon","Citrullus lanatus","Gourds","Gourds"
"52","53","Lime","Citrus aurantiifolia","Fruits","Citrus"
"53","54","Lemon","Citrus limon","Fruits","Citrus"
"54","55","Pummelo","Citrus maxima","Fruits","Citrus"
"55","56","Mandarin orange (Clementine, Tangerine)","Citrus reticulata","Fruits","Citrus"
"56","57","Sweet orange","Citrus sinensis","Fruits","Citrus"
"57","58","Coffee","Coffea","Coffee and coffee products","Coffee"
"58","59","Arabica coffee","Coffea arabica","Coffee and coffee products","Coffee"
"59","60","Robusta coffee","Coffea canephora","Coffee and coffee products","Coffee"
"60","61","Coriander","Coriandrum sativum","Herbs and Spices","Herbs"
"61","62","Common hazelnut","Corylus avellana","Nuts","Nuts"
"62","63","Saffron","Crocus sativus","Herbs and Spices","Spices"
"63","64","Muskmelon","Cucumis melo","Gourds","Gourds"
"64","65","Cucumber","Cucumis sativus","Gourds","Gourds"
"65","66","Cucurbita","Cucurbita","Gourds","Gourds"
"66","67","Cumin","Cuminum cyminum","Herbs and Spices","Spices"
"67","68","Turmeric","Curcuma longa","Herbs and Spices","Spices"
"68","69","Quince","Cydonia oblonga","Fruits","Pomes"
"69","70","Lemon grass","Cymbopogon citratus","Herbs and Spices","Herbs"
"70","71","Globe artichoke","Cynara scolymus","Vegetables","Shoot vegetables"
"71","72","Wild carrot","Daucus carota","Vegetables","Root vegetables"
"72","73","Japanese persimmon","Diospyros kaki","Fruits","Tropical fruits"
"73","74","Cardamom","Elettaria cardamomum","Herbs and Spices","Spices"
"74","75","Black crowberry","Empetrum nigrum","Fruits","Berries"
"75","76","Loquat","Eriobotrya japonica","Fruits","Tropical fruits"
"76","77","Rocket salad (ssp.)","Eruca vesicaria ssp. sativa","Vegetables","Leaf vegetables"
"77","78","Wax apple","Eugenia javanica","Fruits","Tropical fruits"
"78","79","Common buckwheat","Fagopyrum esculentum","Cereals and cereal products","Cereals"
"79","80","Tartary buckwheat","Fagopyrum tataricum","Cereals and cereal products","Cereals"
"80","81","Fig","Ficus carica","Fruits","Other fruits"
"81","82","Fennel","Foeniculum vulgare","Herbs and Spices","Herbs"
"82","83","Strawberry","Fragaria X ananassa","Fruits","Berries"
"83","84","Black huckleberry","Gaylussacia baccata","Fruits","Berries"
"84","85","Soy bean","Glycine max","Soy","Soy"
"85","86","Sunflower","Helianthus annuus","Herbs and Spices","Oilseed crops"
"86","87","Sea-buckthornberry","Hippophae rhamnoides","Fruits","Berries"
"87","88","Barley","Hordeum vulgare","Cereals and cereal products","Cereals"
"88","89","Hyssop","Hyssopus officinalis","Herbs and Spices","Herbs"
"89","90","Star anise","Illicium verum","Herbs and Spices","Spices"
"90","91","Swamp cabbage","Ipomoea aquatica","Vegetables","Leaf vegetables"
"91","92","Sweet potato","Ipomoea batatas","Vegetables","Tubers"
"92","93","Black walnut","Juglans nigra","Nuts","Nuts"
"93","94","Common walnut","Juglans regia","Nuts","Nuts"
"94","95","Lettuce","Lactuca sativa","Vegetables","Leaf vegetables"
"95","96","Grass pea","Lathyrus sativus","Pulses","Peas"
"96","97","Sweet bay","Laurus nobilis","Herbs and Spices","Herbs"
"97","98","Lentils","Lens culinaris","Pulses","Lentils"
"98","99","Garden cress","Lepidium sativum","Vegetables","Leaf vegetables"
"99","100","Lovage","Levisticum officinale","Herbs and Spices","Herbs"
"100","101","Flaxseed","Linum usitatissimum","Herbs and Spices","Oilseed crops"
"101","102","Mexican oregano","Lippia graveolens","Herbs and Spices","Herbs"
"102","103","Lichee","Litchi chinensis","Fruits","Tropical fruits"
"103","104","Lupine","Lupinus","Pulses","Other pulses"
"104","105","Apple","Malus pumila","Fruits","Pomes"
"105","106","Mango","Mangifera indica","Fruits","Tropical fruits"
"106","107","German camomile","Matricaria recutita","Herbs and Spices","Herbs"
"107","108","Lemon balm","Melissa officinalis","Herbs and Spices","Herbs"
"108","109","Mentha","Mentha","Herbs and Spices","Herbs"
"109","110","Orange mint","Mentha aquatica","Herbs and Spices","Herbs"
"110","111","Cornmint","Mentha arvensis","Herbs and Spices","Herbs"
"111","112","Spearmint","Mentha spicata","Herbs and Spices","Herbs"
"112","113","Peppermint","Mentha X piperita","Herbs and Spices","Herbs"
"113","114","Medlar","Mespilus germanica","Fruits","Pomes"
"114","115","Bitter gourd","Momordica charantia","Gourds","Gourds"
"115","116","Mulberry","Morus","Fruits","Berries"
"116","117","Black mulberry","Morus nigra","Fruits","Berries"
"117","118","Nutmeg","Myristica fragrans","Herbs and Spices","Spices"
"118","119","Sweet basil","Ocimum basilicum","Herbs and Spices","Herbs"
"119","120","Evening primrose","Oenothera biennis","Herbs and Spices","Oilseed crops"
"120","121","Olive","Olea europaea","Vegetables","Fruit vegetables"
"121","122","Sweet marjoram","Origanum majorana","Herbs and Spices","Herbs"
"122","123","Pot marjoram","Origanum onites","Herbs and Spices","Herbs"
"123","124","Common oregano","Origanum vulgare","Herbs and Spices","Herbs"
"124","125","Rice","Oryza sativa","Cereals and cereal products","Cereals"
"125","126","Millet","Panicum miliaceum","Cereals and cereal products","Cereals"
"126","127","Poppy","Papaver","Herbs and Spices","Oilseed crops"
"127","128","Passion fruit","Passiflora edulis","Fruits","Tropical fruits"
"128","129","Parsnip","Pastinaca sativa","Vegetables","Root vegetables"
"129","130","Avocado","Persea americana","Vegetables","Fruit vegetables"
"130","131","Parsley","Petroselinum crispum","Herbs and Spices","Herbs"
"131","132","Scarlet bean","Phaseolus coccineus","Pulses","Beans"
"132","133","Lima bean","Phaseolus lunatus","Pulses","Beans"
"133","134","Common bean","Phaseolus vulgaris","Pulses","Beans"
"134","135","Date","Phoenix dactylifera","Fruits","Other fruits"
"135","136","Black chokeberry","Photinia melanocarpa","Fruits","Berries"
"136","137","Anise","Pimpinella anisum","Herbs and Spices","Herbs"
"137","138","Pine nut","Pinus","Nuts","Nuts"
"138","139","Pepper (Spice)","Piper nigrum","Herbs and Spices","Spices"
"139","140","Pistachio","Pistacia vera","Nuts","Nuts"
"140","141","Common pea","Pisum sativum","Pulses","Peas"
"141","142","Purslane","Portulaca oleracea","Herbs and Spices","Herbs"
"142","143","Prunus (Cherry, Plum)","Prunus","Fruits","Drupes"
"143","144","Apricot","Prunus armeniaca","Fruits","Drupes"
"144","145","Sweet cherry","Prunus avium","Fruits","Drupes"
"145","146","Sour cherry","Prunus cerasus","Fruits","Drupes"
"146","147","European plum","Prunus domestica","Fruits","Drupes"
"147","148","Almond","Prunus dulcis","Nuts","Nuts"
"148","149","Peach","Prunus persica","Fruits","Drupes"
"149","150","Guava","Psidium guajava","Fruits","Tropical fruits"
"150","151","Pomegranate","Punica granatum","Fruits","Tropical fruits"
"151","152","Pear","Pyrus communis","Fruits","Pomes"
"152","153","Radish","Raphanus sativus","Vegetables","Root vegetables"
"153","154","Garden rhubarb","Rheum rhabarbarum","Vegetables","Stalk vegetables"
"154","155","Blackcurrant","Ribes nigrum","Fruits","Berries"
"155","156","Redcurrant","Ribes rubrum","Fruits","Berries"
"156","157","Gooseberry","Ribes uva-crispa","Fruits","Berries"
"157","158","Watercress","Rorippa nasturtium-aquaticum","Herbs and Spices","Herbs"
"158","159","Rosemary","Rosmarinus officinalis","Herbs and Spices","Herbs"
"159","160","Rubus (Blackberry, Raspberry)","Rubus","Fruits","Berries"
"160","161","Cloudberry","Rubus chamaemorus","Fruits","Berries"
"161","162","Red raspberry","Rubus idaeus","Fruits","Berries"
"162","163","Black raspberry","Rubus occidentalis","Fruits","Berries"
"163","164","Sorrel","Rumex acetosa","Herbs and Spices","Herbs"
"164","165","Common sage","Salvia officinalis","Herbs and Spices","Herbs"
"165","166","Black elderberry","Sambucus nigra","Fruits","Berries"
"166","167","Summer savory","Satureja hortensis","Herbs and Spices","Herbs"
"167","168","Winter savory","Satureja montana","Herbs and Spices","Herbs"
"168","169","Rye","Secale cereale","Cereals and cereal products","Cereals"
"169","170","Sesame","Sesamum orientale","Herbs and Spices","Oilseed crops"
"170","171","Garden tomato","Solanum lycopersicum","Vegetables","Fruit vegetables"
"171","172","Cherry tomato","Solanum lycopersicum var. cerasiforme","Vegetables","Fruit vegetables"
"172","173","Garden tomato (var.)","Solanum lycopersicum var. lycopersicum","Vegetables","Fruit vegetables"
"173","174","Eggplant","Solanum melongena","Vegetables","Fruit vegetables"
"174","175","Potato","Solanum tuberosum","Vegetables","Tubers"
"175","176","Rowanberry","Sorbus aucuparia","Fruits","Berries"
"176","177","Sorghum","Sorghum bicolor","Cereals and cereal products","Cereals"
"177","178","Spinach","Spinacia oleracea","Vegetables","Leaf vegetables"
"178","179","Cloves","Syzygium aromaticum","Herbs and Spices","Spices"
"179","180","Tamarind","Tamarindus indica","Fruits","Tropical fruits"
"180","181","Dandelion","Taraxacum officinale","Herbs and Spices","Herbs"
"181","182","Cocoa bean","Theobroma cacao","Cocoa and cocoa products","Cocoa"
"182","183","Common thyme","Thymus vulgaris","Herbs and Spices","Herbs"
"183","184","Linden","Tilia","Herbs and Spices","Herbs"
"184","185","Small-leaf linden","Tilia cordata","Herbs and Spices","Herbs"
"185","186","Fenugreek","Trigonella foenum-graecum","Herbs and Spices","Herbs"
"186","187","Common wheat","Triticum aestivum","Cereals and cereal products","Cereals"
"187","188","Vaccinium (Blueberry, Cranberry, Huckleberry)","Vaccinium","Fruits","Berries"
"188","189","Lowbush blueberry","Vaccinium angustifolium","Fruits","Berries"
"189","190","Sparkleberry","Vaccinium arboreum","Fruits","Berries"
"190","191","Highbush blueberry","Vaccinium corymbosum","Fruits","Berries"
"191","192","American cranberry","Vaccinium macrocarpon","Fruits","Berries"
"192","193","Bilberry","Vaccinium myrtillus","Fruits","Berries"
"193","194","Lingonberry","Vaccinium vitis-idaea","Fruits","Berries"
"194","195","Vanilla","Vanilla","Herbs and Spices","Spices"
"195","196","Common verbena","Verbena officinalis","Herbs and Spices","Herbs"
"196","197","Broad bean","Vicia faba","Pulses","Beans"
"197","198","Adzuki bean","Vigna angularis","Pulses","Beans"
"198","199","Gram bean","Vigna mungo","Pulses","Beans"
"199","200","Mung bean","Vigna radiata","Pulses","Beans"
"200","201","Climbing bean","Vigna umbellata","Pulses","Beans"
"201","202","Cowpea","Vigna unguiculata","Pulses","Peas"
"202","203","Muscadine grape","Vitis rotundifolia","Fruits","Berries"
"203","204","Common grape","Vitis vinifera","Fruits","Berries"
"204","205","Corn","Zea mays","Cereals and cereal products","Cereals"
"205","206","Ginger","Zingiber officinale","Herbs and Spices","Spices"
"206","207","Arctic blackberry","Rubus arcticus","Fruits","Berries"
"207","208","Banana","Musa acuminata","Fruits","Tropical fruits"
"208","209","Bayberry","Myrica","Fruits","Berries"
"209","210","Elliott's blueberry","Vaccinium elliottii","Fruits","Berries"
"210","211","Canada blueberry","Vaccinium myrtilloides","Fruits","Berries"
"211","212","Bog bilberry","Vaccinium uliginosum","Fruits","Berries"
"212","213","Buffalo currant","Ribes aureum var. villosum","Fruits","Berries"
"213","214","Celeriac","Apium graveolens var. rapaceum","Vegetables","Root vegetables"
"214","215","Celery stalks","Apium graveolens var. dulce","Vegetables","Stalk vegetables"
"215","216","Chinese chives","Allium tuberosum","Herbs and Spices","Herbs"
"216","217","European cranberry","Vaccinium oxycoccos","Fruits","Berries"
"217","218","Deerberry","Vaccinium stamineum","Fruits","Berries"
"218","219","Ginseng","Panax","Herbs and Spices","Spices"
"219","220","Cascade huckleberry","Vaccinium deliciosum","Fruits","Berries"
"220","221","Oval-leaf huckleberry","Vaccinium ovalifolium","Fruits","Berries"
"221","222","Evergreen huckleberry","Vaccinium ovatum","Fruits","Berries"
"222","223","Red huckleberry","Vaccinium parvifolium","Fruits","Berries"
"223","224","Longan","Dimocarpus longan","Fruits","Tropical fruits"
"224","225","Macadamia nut (M. tetraphylla)","Macadamia tetraphylla","Nuts","Nuts"
"225","226","Garden onion (var.)","Allium cepa var. cepa","Vegetables","Onion-family vegetables"
"226","227","Summer grape","Vitis aestivalis","Fruits","Berries"
"227","228","Fox grape","Vitis labrusca","Fruits","Berries"
"228","229","Nectarine","Prunus persica var. nucipersica","Fruits","Drupes"
"229","230","Peach (var.)","Prunus persica var. persica","Fruits","Drupes"
"230","231","Pepper (C. baccatum)","Capsicum baccatum var. baccatum","Vegetables","Fruit vegetables"
"231","232","Pepper (C. chinense)","Capsicum chinense","Vegetables","Fruit vegetables"
"232","233","Pepper (Capsicum)","Capsicum","Vegetables","Fruit vegetables"
"233","234","Rambutan","Nephelium lappaceum","Fruits","Tropical fruits"
"234","235","Red rice","Oryza rufipogon","Cereals and cereal products","Cereals"
"235","236","Annual wild rice","Zizania aquatica","Cereals and cereal products","Cereals"
"236","237","Swiss chard","Beta vulgaris ssp. cicla","Vegetables","Leaf vegetables"
"237","238","Lemon thyme","Thymus pulegioides","Herbs and Spices","Herbs"
"238","239","Tronchuda cabbage","Brassica oleracea var. costata","Vegetables","Cabbages"
"239","240","Japanese walnut","Juglans ailanthifolia","Nuts","Nuts"
"240","241","Welsh onion","Allium fistulosum","Herbs and Spices","Herbs"
"241","242","Hard wheat","Triticum durum","Cereals and cereal products","Cereals"
"242","243","Shallot","Allium ascalonicum","Vegetables","Onion-family vegetables"
"243","244","Rocket salad","Eruca vesicaria","Vegetables","Leaf vegetables"
"244","245","Carrot","Daucus carota ssp. sativus","Vegetables","Root vegetables"
"245","246","Triticale","X Triticosecale rimpaui","Cereals and cereal products","Cereals"
"246","247","Black cabbage","Brassica oleracea var. viridis","Vegetables","Cabbages"
"247","248","Half-highbush blueberry","Vaccinium angustifolium X Vaccinium corymbosum","Fruits","Berries"
"248","249","Celery leaves","Apium graveolens var. secalinum","Herbs and Spices","Herbs"
"249","250","Chicory leaves","Cichorium intybus var. foliosum","Vegetables","Leaf vegetables"
"250","251","Komatsuna","Brassica rapa var. perviridis","Vegetables","Cabbages"
"251","252","Pak choy","Brassica rapa var. chinensis","Vegetables","Cabbages"
"252","253","Napa cabbage","Brassica rapa var. pekinensis","Vegetables","Cabbages"
"253","254","Chicory roots","Cichorium intybus var. sativum","Vegetables","Root vegetables"
"254","255","Grapefruit/Pummelo hybrid","Citrus paradisi X Citrus maxima","Fruits","Citrus"
"255","256","Grapefruit","Citrus X paradisi","Fruits","Citrus"
"256","257","Jostaberry","Ribes × nidigrolaria","Fruits","Berries"
"257","258","Kai-lan","Brassica oleracea var. alboglabra","Vegetables","Cabbages"
"258","259","Italian oregano","Origanum X majoricum","Herbs and Spices","Herbs"
"259","260","Oxheart cabbage","Brassica oleracea var. conica","Vegetables","Cabbages"
"260","261","Daikon radish","Raphanus sativus var. longipinnatus","Vegetables","Root vegetables"
"261","262","Black radish","Raphanus sativus var. niger","Vegetables","Root vegetables"
"262","263","Radish (var.)","Raphanus sativus var. sativus","Vegetables","Root vegetables"
"263","264","Red beetroot","Beta vulgaris var. rubra","Vegetables","Root vegetables"
"264","265","Sweet rowanberry","Grataegosorbus mitschurinii","Fruits","Berries"
"265","266","Pineappple sage","Salvia elegans","Herbs and Spices","Herbs"
"266","267","Skunk currant","Ribes glandulosum","Fruits","Berries"
"267","268","Beer","","Beverages","Fermented beverages"
"268","269","Other bread","","Cereals and cereal products","Other breads"
"269","270","Breakfast cereal","","Cereals and cereal products","Cereal products"
"270","272","Other soy product","","Soy","Soy products"
"271","273","Other cereal product","","Cereals and cereal products","Cereal products"
"272","274","Pasta","","Cereals and cereal products","Cereal products"
"273","275","Biscuit","","Cereals and cereal products","Cereal products"
"274","276","Sourdough","","Cereals and cereal products","Doughs"
"275","277","Spirit","","Beverages","Distilled beverages"
"276","278","Fortified wine","","Beverages","Fortified wines"
"277","279","Other alcoholic beverage","","Beverages","Alcoholic beverages"
"278","280","Abalone","Haliotis","Aquatic foods","Mollusks"
"279","281","Abiyuch","Crateva religiosa","Fruits","Tropical fruits"
"280","282","Acerola","Malpighia emarginata","Fruits","Tropical fruits"
"281","283","Acorn","Quercus","Nuts","Nuts"
"282","284","Winter squash","Cucurbita maxima","Gourds","Gourds"
"283","285","Agar","Eucheuma","Aquatic foods","Seaweed"
"284","286","Red king crab","Paralithodes camtschaticus","Aquatic foods","Crustaceans"
"285","287","Alfalfa","Medicago sativa","Herbs and Spices","Herbs"
"286","288","Allspice","Pimenta dioica","Herbs and Spices","Spices"
"287","289","Amaranth","Amaranthus","Herbs and Spices","Herbs"
"288","290","Arrowhead","Sagittaria latifolia","Vegetables","Tubers"
"289","291","Arrowroot","Maranta arundinacea","Vegetables","Tubers"
"290","292","Asian pear","Pyrus pyrifolia","Fruits","Pomes"
"291","293","Atlantic herring","Clupea harengus harengus","Aquatic foods","Fishes"
"292","294","Atlantic mackerel","Scomber scombrus","Aquatic foods","Fishes"
"293","295","Painted comber","Serranus scriba","Aquatic foods","Fishes"
"294","296","Atlantic pollock","Pollachius pollachius","Aquatic foods","Fishes"
"295","297","Atlantic wolffish","Anarhichas lupus","Aquatic foods","Fishes"
"296","298","Bamboo shoots","Phyllostachys edulis","Vegetables","Shoot vegetables"
"297","299","Striped bass","Morone saxatilis","Aquatic foods","Fishes"
"298","301","Beech nut","Fagus","Nuts","Nuts"
"299","302","Beluga whale","Delphinapterus leucas","Aquatic foods","Cetaceans"
"300","303","Bison","Bison bison","Animal foods","Bovines"
"301","305","Alaska blackfish","Dallia pectoralis","Aquatic foods","Fishes"
"302","306","Blue crab","Callinectes sapidus","Aquatic foods","Crustaceans"
"303","307","Blue mussel","Mytilus edulis","Aquatic foods","Mollusks"
"304","308","Northern bluefin tuna","Thunnus thynnus","Aquatic foods","Fishes"
"305","309","Bluefish","Pomatomus saltatrix","Aquatic foods","Fishes"
"306","310","Wild boar","Sus scrofa","Animal foods","Swine"
"307","311","Bowhead whale","Balaena mysticetus","Aquatic foods","Cetaceans"
"308","312","Breadfruit","Artocarpus altilis","Fruits","Tropical fruits"
"309","313","Breadnut tree seed","Brosimum alicastrum","Herbs and Spices","Other seeds"
"310","314","Rapini","Brassica ruvo","Vegetables","Cabbages"
"311","316","Buffalo","Bubalus bubalis","Animal foods","Bovines"
"312","317","Burbot","Lota lota","Aquatic foods","Fishes"
"313","318","Giant butterbur","Petasites japonicus","Vegetables","Other vegetables"
"314","319","American butterfish","Peprilus triacanthus","Aquatic foods","Fishes"
"315","320","Butternut","Juglans cinerea","Nuts","Nuts"
"316","321","Butternut squash","Cucurbita moschata","Gourds","Gourds"
"317","322","Calabash","Lagenaria siceraria","Gourds","Gourds"
